web_name,form,now_cost,selected_by_percent,event_points,total_points,ict_index,influence,creativity,threat,transfers_in,transfers_out,bonus
Plange,0.0,45,0.0,0,0,0.0,0.0,0.0,0.0,0,1524,0
C.Richards,1.0,39,0.6,2,12,17.9,140.8,30.0,8.0,63299,50767,0
Riedewald,0.4,43,0.1,0,7,2.2,9.4,5.0,8.0,7919,9408,0
Schlupp,1.8,49,0.1,1,43,52.9,191.0,168.2,172.0,16513,24005,1
Tomkins,0.0,40,0.4,0,1,0.0,0.2,0.0,0.0,21117,67166,0
Ward,0.2,45,0.2,0,36,31.9,219.6,69.4,31.0,33503,41750,0
Whitworth,0.0,39,1.0,0,0,0.0,0.0,0.0,0.0,22425,50007,0
André Gomes,1.8,44,0.1,1,9,10.6,36.8,46.0,25.0,9824,24869,0
Branthwaite,1.4,41,3.3,1,45,41.8,314.4,43.2,61.0,469516,173941,5
Calvert-Lewin,2.4,58,1.0,2,45,71.9,157.4,134.9,438.0,344203,339574,3
Coleman,0.2,44,0.0,1,7,2.1,16.0,2.2,2.0,2061,5627,0
Dele,0.0,48,0.0,0,0,0.0,0.0,0.0,0.0,703,3530,0
A.Doucoure,2.2,55,0.7,0,76,108.3,339.0,293.6,447.0,380679,343281,7
Garner,2.2,49,0.1,2,49,80.6,309.6,356.5,140.0,28112,24428,2
Gbamin,0.0,44,0.0,0,0,0.0,0.0,0.0,0.0,330,2451,0
Godfrey,1.2,43,0.1,0,7,1.0,9.6,0.8,0.0,5324,12874,0
Gray,0.0,53,0.1,0,0,0.0,0.0,0.0,0.0,1890,30855,0
Gana,0.0,48,0.0,0,26,38.2,158.6,139.3,84.0,3338,6019,2
Holgate,0.0,40,0.4,0,0,0.0,0.0,0.0,0.0,4656,134817,0
Iwobi,2.8,53,0.8,2,53,88.3,262.8,316.9,302.0,137657,146374,3
Keane,3.2,43,0.2,1,18,20.0,106.0,4.0,90.0,13466,23380,2
Maupay,2.0,49,1.0,1,41,68.9,165.6,152.3,374.0,183670,202223,4
