web_name,team,element_type,form,now_cost,selected_by_percent,event_points,total_points,ict_index,influence,creativity,threat,transfers_in,transfers_out,bonus
Miley,Newcastle,MID,1.3,45,0.2,2,26,37.3,130.2,118.9,124.0,35307,21909,1
G.Shelvey,Nott'm Forest,GK,0.0,39,0.0,0,0,0.0,0.0,0.0,0.0,1857,3131,0
Powell,Nott'm Forest,DEF,0.0,39,0.1,0,0,0.0,0.0,0.0,0.0,7523,8233,0
Vini Souza,Sheffield Utd,MID,2.0,50,0.0,2,36,38.2,267.8,47.1,67.0,3128,3098,1
Van de Ven,Spurs,DEF,0.3,44,1.2,1,44,27.3,223.2,14.8,34.0,751349,697052,4
Scarlett,Spurs,FWD,0.0,45,0.1,0,0,0.0,0.0,0.0,0.0,7863,30432,0
Veliz,Spurs,FWD,2.0,54,0.1,0,11,6.5,35.2,0.9,29.0,8873,12067,0
Álvarez,West Ham,MID,2.0,50,0.2,0,34,36.0,265.6,57.0,39.0,19798,21012,0
Aarons,Bournemouth,DEF,0.0,44,0.1,0,23,30.3,168.2,108.4,26.0,29119,30546,0
Scott,Bournemouth,MID,5.3,49,0.0,1,19,20.8,104.0,72.8,32.0,4284,2773,3
Y. Chermiti,Everton,FWD,0.0,48,0.1,0,6,2.7,0.0,13.5,17.0,5874,8632,0
Hein,Arsenal,GK,0.0,40,0.1,0,0,0.0,0.0,0.0,0.0,4585,3948,0
Anang,West Ham,GK,0.0,40,0.1,0,0,0.0,0.0,0.0,0.0,5520,4399,0
Francis-Clarke,Luton,DEF,0.0,40,0.0,0,0,0.0,0.0,0.0,0.0,713,1402,0
Cannon,Everton,FWD,0.0,45,0.0,0,1,0.0,0.0,0.0,0.0,2480,3780,0
Onyango,Everton,MID,0.0,45,0.0,0,1,0.0,0.0,0.0,0.0,1542,1495,0
Stansfield,Fulham,FWD,0.0,45,0.0,0,0,0.0,0.0,0.0,0.0,1655,2403,0
Dibley-Dias,Fulham,MID,0.0,45,0.0,0,0,0.0,0.0,0.0,0.0,1087,1066,0
Seriki,Sheffield Utd,DEF,0.0,39,0.1,0,0,0.0,0.0,0.0,0.0,5187,4738,0
Marsh,Sheffield Utd,FWD,0.0,45,0.0,0,0,0.0,0.0,0.0,0.0,3568,4788,0
Brooks,Sheffield Utd,MID,1.3,44,0.0,1,13,9.5,40.2,28.9,25.0,6098,5287,0
Hackford,Sheffield Utd,FWD,0.0,44,0.1,0,2,0.0,0.0,0.3,0.0,11863,11123,0
Rak-Sakyi,Crystal Palace,MID,0.0,45,0.0,0,8,11.0,23.2,28.2,58.0,5168,4815,0
Gordon,Crystal Palace,FWD,0.0,45,0.0,0,0,0.0,0.0,0.0,0.0,7045,9394,0
Bergström,Chelsea,GK,0.0,39,0.0,0,0,0.0,0.0,0.0,0.0,1897,1720,0
Odobert,Burnley,MID,2.3,50,0.1,3,40,48.9,196.4,140.1,154.0,12803,5638,3
Harrison,Everton,MID,4.0,55,0.2,3,57,70.0,241.6,249.4,209.0,39785,28743,3
Adama,Fulham,MID,0.0,49,0.0,0,4,3.5,9.6,5.0,21.0,6234,6867,0
Hamer,Sheffield Utd,MID,0.7,50,0.2,1,52,83.6,268.6,433.4,135.0,62947,54675,3
Ward-Prowse,West Ham,MID,6.0,60,8.6,9,91,136.9,532.2,619.8,218.0,2425926,1672493,12
Krul,Luton,GK,0.0,44,0.0,0,0,0.0,0.0,0.0,0.0,3420,3535,0
T.Davies,Sheffield Utd,MID,0.0,50,0.0,0,2,2.8,6.4,13.0,8.0,583,699,0
Lavia,Chelsea,MID,0.2,49,0.0,0,1,0.6,3.6,1.9,0.0,1428,1617,0
Endo,Liverpool,MID,1.3,54,0.1,0,25,25.9,124.6,108.8,28.0,14704,13393,0
